mention_id,sentence_id,doc_id,doc_name,sentence_number,entity,entity type,type,actor_id_type,actor_name,new_actor_type,abbreviation,country_based,iso3c
83,Jan-41,1,848,41,UN,ORG,mentioned in agt text,IGO_49,United Nations (General),Intergovernmental Organization,UN,,
84,Jan-41,1,848,41,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
85,Jan-42,1,848,42,UNAMA,NORP,mentioned in agt text,0,,,,,
86,Jan-42,1,848,42,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
87,Jan-42,1,848,42,Afghan Government,ORG,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
88,Jan-43,1,848,43,International Contact Group,ORG,mentioned in agt text,0,,,,,
89,Jan-43,1,848,43,Afghan Government,ORG,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
90,Jan-45,1,848,45,Afghan,NORP,mentioned in agt text,0,,,,,
91,Jan-46,1,848,46,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
92,Jan-48,1,848,48,Transition,ORG,mentioned in agt text,0,,,,,
93,Jan-49,1,848,49,Afghan,NORP,mentioned in agt text,0,,,,,
94,Jan-50,1,848,50,International Security Assistance Force,ORG,mentioned in agt text,0,,,,,
95,Jan-50,1,848,50,ISAF,ORG,mentioned in agt text,0,,,,,
96,Jan-50,1,848,50,UN Security Council,ORG,mentioned in agt text,IGO_8,UN Security Council,Intergovernmental Organization,UNSC,,
97,Jan-51,1,848,51,Transition,ORG,mentioned in agt text,0,,,,,
98,Jan-51,1,848,51,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
99,Jan-52,1,848,52,International Community,ORG,mentioned in agt text,OTH_206,International Community,Other,,,
100,Jan-52,1,848,52,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
101,Jan-54,1,848,54,Afghan National Security Forces,ORG,mentioned in agt text,0,,,,,
102,Jan-55,1,848,55,ANSF,ORG,mentioned in agt text,0,,,,,
103,Jan-55,1,848,55,International Community,ORG,mentioned in agt text,OTH_206,International Community,Other,,,
104,Jan-56,1,848,56,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
105,Jan-57,1,848,57,ANSF,ORG,mentioned in agt text,0,,,,,
106,Jan-57,1,848,57,NATO,ORG,mentioned in agt text,IGO_406,North Atlantic Treaty Organization,Intergovernmental Organization,NATO,,
107,Jan-57,1,848,57,Chicago,GPE,mentioned in agt text,0,,,,,
108,Jan-59,1,848,59,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
109,Jan-60,1,848,60,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
110,Jan-61,1,848,61,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
111,Jan-63,1,848,63,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
112,Jan-64,1,848,64,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
113,Jan-64,1,848,64,International Community,ORG,mentioned in agt text,OTH_206,International Community,Other,,,
114,Jan-67,1,848,67,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
115,Jan-68,1,848,68,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
116,Jan-69,1,848,69,Afghan,NORP,mentioned in agt text,0,,,,,
117,Jan-71,1,848,71,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
118,Jan-71,1,848,71,High Peace Council,ORG,mentioned in agt text,0,,,,,
119,Jan-72,1,848,72,International Community,ORG,mentioned in agt text,OTH_206,International Community,Other,,,
120,Jan-72,1,848,72,Afghan Government,ORG,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
121,Jan-72,1,848,72,High Peace Council,ORG,mentioned in agt text,0,,,,,
122,Jan-72,1,848,72,Reintegration Programme,ORG,mentioned in agt text,0,,,,,
123,Jan-75,1,848,75,UN,ORG,mentioned in agt text,IGO_49,United Nations (General),Intergovernmental Organization,UN,,
124,Jan-75,1,848,75,International Community,ORG,mentioned in agt text,OTH_206,International Community,Other,,,
125,Jan-75,1,848,75,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
126,Jan-75,1,848,75,Afghan‐owned,ORG,mentioned in agt text,0,,,,,
127,Jan-76,1,848,76,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
128,Jan-77,1,848,77,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
129,Jan-82,1,848,82,International Community,ORG,mentioned in agt text,OTH_206,International Community,Other,,,
130,Jan-84,1,848,84,International Community,ORG,mentioned in agt text,OTH_206,International Community,Other,,,
131,Jan-84,1,848,84,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
132,Jan-84,1,848,84,Afghan Government ’s,ORG,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
133,Jan-85,1,848,85,International Community,ORG,mentioned in agt text,OTH_206,International Community,Other,,,
134,Jan-85,1,848,85,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
135,Jan-85,1,848,85,Afghan Government ’s,ORG,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
136,Jan-85,1,848,85,National Priority Programmes,ORG,mentioned in agt text,0,,,,,
137,Jan-85,1,848,85,Kabul Process,ORG,mentioned in agt text,0,,,,,
138,Jan-87,1,848,87,Afghan,NORP,mentioned in agt text,0,,,,,
139,Jan-87,1,848,87,Kabul,GPE,mentioned in agt text,0,,,,,
140,Jan-87,1,848,87,London,GPE,mentioned in agt text,0,,,,,
141,Jan-87,1,848,87,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
142,Jan-88,1,848,88,Japan,GPE,mentioned in agt text,CON_294,Japan,Country/State,JPN,Japan,JPN
143,Jan-88,1,848,88,Tokyo,GPE,mentioned in agt text,0,,,,,
144,Jan-88,1,848,88,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
145,Jan-90,1,848,90,World Bank,ORG,mentioned in agt text,IGO_437,World Bank,Intergovernmental Organization,WB,,
