mention_id,sentence_id,doc_id,doc_name,sentence_number,entity,entity type,type,actor_id_type,actor_name,new_actor_type,abbreviation,country_based,iso3c
0,0/1,0,482,1,Islamic State,ORG,mentioned in agt text,ARM_512,Islamic State of Iraq and Levant,Armed Organization,ISIS,Iraq,IRQ
1,0/1,0,482,1,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
2,0/2,0,482,2,Hazrat Sahib,ORG,mentioned in agt text,0,,,,,
3,0/2,0,482,2,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
4,0/2,0,482,2,Kabul,GPE,mentioned in agt text,0,,,,,
5,0/3,0,482,3,State,ORG,mentioned in agt text,0,,,,,
6,0/4,0,482,4,Islamic Council,ORG,mentioned in agt text,0,,,,,
7,0/4,0,482,4,Transitional State,ORG,mentioned in agt text,0,,,,,
8,0/4,0,482,4,Hazrat Sahib,ORG,mentioned in agt text,0,,,,,
9,0/5,0,482,5,Council,ORG,mentioned in agt text,0,,,,,
10,0/7,0,482,7,Transitional Islamic State,ORG,mentioned in agt text,0,,,,,
11,0/7,0,482,7,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
12,0/7,0,482,7,Leadership Council,ORG,mentioned in agt text,0,,,,,
13,0/12,0,482,12,Cabinet,ORG,mentioned in agt text,0,,,,,
14,0/12,0,482,12,Tanzeemat,ORG,mentioned in agt text,0,,,,,
15,0/14,0,482,14,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
16,0/16,0,482,16,Ministry Interior,ORG,mentioned in agt text,0,,,,,
17,0/16,0,482,16,Ittehad - e - Islami,ORG,mentioned in agt text,POL_446,Ittehad-e-Islami,Political Party,,Afghanistan,AFG
18,0/16,0,482,16,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
19,0/18,0,482,18,Ministry Education,ORG,mentioned in agt text,0,,,,,
20,0/20,0,482,20,Ministry Foreign Affairs,ORG,mentioned in agt text,0,,,,,
21,0/20,0,482,20,National Islamic,ORG,mentioned in agt text,POL_448,National Islamic Front of Afghanistan,Political Party,,Afghanistan,AFG
22,0/22,0,482,22,Ministry Defence,ORG,mentioned in agt text,0,,,,,
23,0/22,0,482,22,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
24,0/24,0,482,24,Supreme Court,ORG,mentioned in agt text,0,,,,,
25,0/24,0,482,24,Harkat,ORG,mentioned in agt text,0,,,,,
26,0/26,0,482,26,Leadership Council,ORG,mentioned in agt text,0,,,,,
27,0/26,0,482,26,Ministries,ORG,mentioned in agt text,0,,,,,
28,0/26,0,482,26,Ministries Hizb - e - Wahdat,ORG,mentioned in agt text,0,,,,,
30,0/29,0,482,29,Islamic Council,ORG,mentioned in agt text,0,,,,,
32,1/0,1,848,0,International Afghanistan Conference,ORG,mentioned in agt text,0,,,,,
33,1/0,1,848,0,Bonn,GPE,mentioned in agt text,0,,,,,
34,1/0,1,848,0,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
35,1/0,1,848,0,International Community : Transition,ORG,mentioned in agt text,0,,,,,
36,01-Jan,1,848,1,Islamic Republic Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
37,01-Jan,1,848,1,International Community,ORG,mentioned in agt text,OTH_206,International Community,Other,,,
38,01-Jan,1,848,1,Bonn,GPE,mentioned in agt text,0,,,,,
39,01-Jan,1,848,1,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
40,01-Jan,1,848,1,Afghan,NORP,mentioned in agt text,0,,,,,
41,01-Feb,1,848,2,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
42,01-Mar,1,848,3,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
43,01-Mar,1,848,3,solidarity,ORG,mentioned in agt text,0,,,,,
44,01-May,1,848,5,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
45,01-May,1,848,5,International Community,ORG,mentioned in agt text,OTH_206,International Community,Other,,,
46,01-May,1,848,5,Federal Republic Germany,GPE,mentioned in agt text,CON_2,Germany,Country/State,GMY,Germany,DEU
47,01-Jun,1,848,6,Germany,GPE,mentioned in agt text,CON_2,Germany,Country/State,GMY,Germany,DEU
48,01-Jun,1,848,6,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
49,01-Jun,1,848,6,International Community,ORG,mentioned in agt text,OTH_206,International Community,Other,,,
50,01-Aug,1,848,8,Petersberg,GPE,mentioned in agt text,0,,,,,
51,01-Aug,1,848,8,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
52,01-Aug,1,848,8,International Community,ORG,mentioned in agt text,OTH_206,International Community,Other,,,
53,01-Sep,1,848,9,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
54,01-Oct,1,848,10,Afghan,NORP,mentioned in agt text,0,,,,,
55,01-Nov,1,848,11,Al Qaida,ORG,mentioned in agt text,ARM_1097,al-Qaida,Armed Organization,,Afghanistan,AFG
56,01-Nov,1,848,11,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
57,Jan-15,1,848,15,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
58,Jan-15,1,848,15,Afghans,NORP,mentioned in agt text,0,,,,,
59,Jan-16,1,848,16,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
60,Jan-18,1,848,18,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
61,Jan-18,1,848,18,Germany,GPE,mentioned in agt text,CON_2,Germany,Country/State,GMY,Germany,DEU
62,Jan-18,1,848,18,International Community,ORG,mentioned in agt text,OTH_206,International Community,Other,,,
63,Jan-19,1,848,19,Kabul Process,ORG,mentioned in agt text,0,,,,,
64,Jan-19,1,848,19,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
65,Jan-19,1,848,19,International Community,ORG,mentioned in agt text,OTH_206,International Community,Other,,,
66,Jan-21,1,848,21,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
67,Jan-22,1,848,22,Afghan,NORP,mentioned in agt text,0,,,,,
68,Jan-22,1,848,22,democratic society,ORG,mentioned in agt text,0,,,,,
69,Jan-23,1,848,23,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
70,Jan-24,1,848,24,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
71,Jan-24,1,848,24,International Community,ORG,mentioned in agt text,OTH_206,International Community,Other,,,
72,Jan-26,1,848,26,Afghan,NORP,mentioned in agt text,0,,,,,
73,Jan-27,1,848,27,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
74,Jan-31,1,848,31,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
75,Jan-32,1,848,32,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
76,Jan-33,1,848,33,Afghan,NORP,mentioned in agt text,0,,,,,
77,Jan-37,1,848,37,Afghan,NORP,mentioned in agt text,0,,,,,
78,Jan-37,1,848,37,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
79,Jan-38,1,848,38,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
80,Jan-38,1,848,38,national sub‐national,ORG,mentioned in agt text,0,,,,,
81,Jan-40,1,848,40,United Nations,ORG,mentioned in agt text,IGO_49,United Nations (General),Intergovernmental Organization,UN,,
82,Jan-40,1,848,40,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
