mention_id,sentence_id,entity type,entity,doc_id_x,sentence_number,doc_name,doc_id_y,type,actor_id_type,actor_name,new_actor_type,actor,abbreviation,country_based,iso3c,correct?,notes
33,1/0,GPE,Bonn,1,0,848,1,mentioned in agt text,0,,,,,,,,
34,1/0,GPE,Afghanistan,1,0,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
35,1/0,ORG,International Community : Transition,1,0,848,1,mentioned in agt text,0,,,,,,,,
36,01-Jan,GPE,Islamic Republic Afghanistan,1,1,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
37,01-Jan,ORG,International Community,1,1,848,1,mentioned in agt text,OTH_206,International Community,Other,International Community,,,,,
38,01-Jan,GPE,Bonn,1,1,848,1,mentioned in agt text,0,,,,,,,,
39,01-Jan,GPE,Afghanistan,1,1,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
40,01-Jan,NORP,Afghan,1,1,848,1,mentioned in agt text,0,,,,,,,,
41,01-Feb,GPE,Afghanistan,1,2,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
42,01-Mar,GPE,Afghanistan,1,3,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
43,01-Mar,ORG,solidarity,1,3,848,1,mentioned in agt text,0,,,,,,,,
44,01-May,GPE,Afghanistan,1,5,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
45,01-May,ORG,International Community,1,5,848,1,mentioned in agt text,OTH_206,International Community,Other,International Community,,,,,
46,01-May,GPE,Federal Republic Germany,1,5,848,1,mentioned in agt text,CON_2,Germany,Country/State,Germany,GMY,Germany,DEU,,
47,01-Jun,GPE,Germany,1,6,848,1,mentioned in agt text,CON_2,Germany,Country/State,Germany,GMY,Germany,DEU,,
48,01-Jun,GPE,Afghanistan,1,6,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
49,01-Jun,ORG,International Community,1,6,848,1,mentioned in agt text,OTH_206,International Community,Other,International Community,,,,,
50,01-Aug,GPE,Petersberg,1,8,848,1,mentioned in agt text,0,,,,,,,,
51,01-Aug,GPE,Afghanistan,1,8,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
52,01-Aug,ORG,International Community,1,8,848,1,mentioned in agt text,OTH_206,International Community,Other,International Community,,,,,
53,01-Sep,GPE,Afghanistan,1,9,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
54,01-Oct,NORP,Afghan,1,10,848,1,mentioned in agt text,0,,,,,,,,
55,01-Nov,ORG,Al Qaida,1,11,848,1,mentioned in agt text,ARM_1097,al-Qaida,Armed Organization,al-Qaida,,Afghanistan,AFG,,
56,01-Nov,GPE,Afghanistan,1,11,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
57,Jan-15,GPE,Afghanistan,1,15,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
58,Jan-15,NORP,Afghans,1,15,848,1,mentioned in agt text,0,,,,,,,,
59,Jan-16,GPE,Afghanistan,1,16,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
60,Jan-18,GPE,Afghanistan,1,18,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
61,Jan-18,GPE,Germany,1,18,848,1,mentioned in agt text,CON_2,Germany,Country/State,Germany,GMY,Germany,DEU,,
62,Jan-18,ORG,International Community,1,18,848,1,mentioned in agt text,OTH_206,International Community,Other,International Community,,,,,
63,Jan-19,ORG,Kabul Process,1,19,848,1,mentioned in agt text,0,,,,,,,,
64,Jan-19,GPE,Afghanistan,1,19,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
65,Jan-19,ORG,International Community,1,19,848,1,mentioned in agt text,OTH_206,International Community,Other,International Community,,,,,
66,Jan-21,GPE,Afghanistan,1,21,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
67,Jan-22,NORP,Afghan,1,22,848,1,mentioned in agt text,0,,,,,,,,
68,Jan-22,ORG,democratic society,1,22,848,1,mentioned in agt text,0,,,,,,,,
69,Jan-23,GPE,Afghanistan,1,23,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
70,Jan-24,GPE,Afghanistan,1,24,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
71,Jan-24,ORG,International Community,1,24,848,1,mentioned in agt text,OTH_206,International Community,Other,International Community,,,,,
72,Jan-26,NORP,Afghan,1,26,848,1,mentioned in agt text,0,,,,,,,,
73,Jan-27,GPE,Afghanistan,1,27,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
74,Jan-31,GPE,Afghanistan,1,31,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
75,Jan-32,GPE,Afghanistan,1,32,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
76,Jan-33,NORP,Afghan,1,33,848,1,mentioned in agt text,0,,,,,,,,
77,Jan-37,NORP,Afghan,1,37,848,1,mentioned in agt text,0,,,,,,,,
78,Jan-37,GPE,Afghanistan,1,37,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
79,Jan-38,GPE,Afghanistan,1,38,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
80,Jan-38,ORG,national sub‐national,1,38,848,1,mentioned in agt text,0,,,,,,,,
81,Jan-40,ORG,United Nations,1,40,848,1,mentioned in agt text,IGO_49,United Nations (General),Intergovernmental Organization,United Nations,UN,,,,
82,Jan-40,GPE,Afghanistan,1,40,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
83,Jan-41,ORG,UN,1,41,848,1,mentioned in agt text,IGO_49,United Nations (General),Intergovernmental Organization,United Nations,UN,,,,
84,Jan-41,GPE,Afghanistan,1,41,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
85,Jan-42,NORP,UNAMA,1,42,848,1,mentioned in agt text,0,,,,,,,,
86,Jan-42,GPE,Afghanistan,1,42,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
87,Jan-42,ORG,Afghan Government,1,42,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
88,Jan-43,ORG,International Contact Group,1,43,848,1,mentioned in agt text,0,,,,,,,,
89,Jan-43,ORG,Afghan Government,1,43,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
90,Jan-45,NORP,Afghan,1,45,848,1,mentioned in agt text,0,,,,,,,,
91,Jan-46,GPE,Afghanistan,1,46,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
92,Jan-48,ORG,Transition,1,48,848,1,mentioned in agt text,0,,,,,,,,
93,Jan-49,NORP,Afghan,1,49,848,1,mentioned in agt text,0,,,,,,,,
94,Jan-50,ORG,International Security Assistance Force,1,50,848,1,mentioned in agt text,0,,,,,,,,
95,Jan-50,ORG,ISAF,1,50,848,1,mentioned in agt text,0,,,,,,,,
96,Jan-50,ORG,UN Security Council,1,50,848,1,mentioned in agt text,IGO_8,UN Security Council,Intergovernmental Organization,United Nations,UNSC,,,,
97,Jan-51,ORG,Transition,1,51,848,1,mentioned in agt text,0,,,,,,,,
98,Jan-51,GPE,Afghanistan,1,51,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
99,Jan-52,ORG,International Community,1,52,848,1,mentioned in agt text,OTH_206,International Community,Other,International Community,,,,,
100,Jan-52,GPE,Afghanistan,1,52,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
101,Jan-54,ORG,Afghan National Security Forces,1,54,848,1,mentioned in agt text,0,,,,,,,,
102,Jan-55,ORG,ANSF,1,55,848,1,mentioned in agt text,0,,,,,,,,
103,Jan-55,ORG,International Community,1,55,848,1,mentioned in agt text,OTH_206,International Community,Other,International Community,,,,,
104,Jan-56,GPE,Afghanistan,1,56,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
105,Jan-57,ORG,ANSF,1,57,848,1,mentioned in agt text,0,,,,,,,,
106,Jan-57,ORG,NATO,1,57,848,1,mentioned in agt text,IGO_406,North Atlantic Treaty Organization,Intergovernmental Organization,North Atlantic Treaty Organization,NATO,,,,
107,Jan-57,GPE,Chicago,1,57,848,1,mentioned in agt text,0,,,,,,,,
108,Jan-59,GPE,Afghanistan,1,59,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
109,Jan-60,GPE,Afghanistan,1,60,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
110,Jan-61,GPE,Afghanistan,1,61,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
111,Jan-63,GPE,Afghanistan,1,63,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
112,Jan-64,GPE,Afghanistan,1,64,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
113,Jan-64,ORG,International Community,1,64,848,1,mentioned in agt text,OTH_206,International Community,Other,International Community,,,,,
114,Jan-67,GPE,Afghanistan,1,67,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
115,Jan-68,GPE,Afghanistan,1,68,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
116,Jan-69,NORP,Afghan,1,69,848,1,mentioned in agt text,0,,,,,,,,
117,Jan-71,GPE,Afghanistan,1,71,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
118,Jan-71,ORG,High Peace Council,1,71,848,1,mentioned in agt text,0,,,,,,,,
119,Jan-72,ORG,International Community,1,72,848,1,mentioned in agt text,OTH_206,International Community,Other,International Community,,,,,
120,Jan-72,ORG,Afghan Government,1,72,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
121,Jan-72,ORG,High Peace Council,1,72,848,1,mentioned in agt text,0,,,,,,,,
122,Jan-72,ORG,Reintegration Programme,1,72,848,1,mentioned in agt text,0,,,,,,,,
123,Jan-75,ORG,UN,1,75,848,1,mentioned in agt text,IGO_49,United Nations (General),Intergovernmental Organization,United Nations,UN,,,,
124,Jan-75,ORG,International Community,1,75,848,1,mentioned in agt text,OTH_206,International Community,Other,International Community,,,,,
125,Jan-75,GPE,Afghanistan,1,75,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
126,Jan-75,ORG,Afghan‐owned,1,75,848,1,mentioned in agt text,0,,,,,,,,
127,Jan-76,GPE,Afghanistan,1,76,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
128,Jan-77,GPE,Afghanistan,1,77,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
129,Jan-82,ORG,International Community,1,82,848,1,mentioned in agt text,OTH_206,International Community,Other,International Community,,,,,
130,Jan-84,ORG,International Community,1,84,848,1,mentioned in agt text,OTH_206,International Community,Other,International Community,,,,,
131,Jan-84,GPE,Afghanistan,1,84,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
132,Jan-84,ORG,Afghan Government ’s,1,84,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
133,Jan-85,ORG,International Community,1,85,848,1,mentioned in agt text,OTH_206,International Community,Other,International Community,,,,,
134,Jan-85,GPE,Afghanistan,1,85,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
135,Jan-85,ORG,Afghan Government ’s,1,85,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
136,Jan-85,ORG,National Priority Programmes,1,85,848,1,mentioned in agt text,0,,,,,,,,
137,Jan-85,ORG,Kabul Process,1,85,848,1,mentioned in agt text,0,,,,,,,,
138,Jan-87,NORP,Afghan,1,87,848,1,mentioned in agt text,0,,,,,,,,
139,Jan-87,GPE,Kabul,1,87,848,1,mentioned in agt text,0,,,,,,,,
140,Jan-87,GPE,London,1,87,848,1,mentioned in agt text,0,,,,,,,,
141,Jan-87,GPE,Afghanistan,1,87,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
142,Jan-88,GPE,Japan,1,88,848,1,mentioned in agt text,CON_294,Japan,Country/State,Japan,JPN,Japan,JPN,,
143,Jan-88,GPE,Tokyo,1,88,848,1,mentioned in agt text,0,,,,,,,,
144,Jan-88,GPE,Afghanistan,1,88,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
145,Jan-90,ORG,World Bank,1,90,848,1,mentioned in agt text,IGO_437,World Bank,Intergovernmental Organization,World Bank,WB,,,,
146,Jan-90,ORG,International Monetary Fund,1,90,848,1,mentioned in agt text,IGO_438,International Monetary Fund,Intergovernmental Organization,International Monetary Fund,IMF,,,,
147,Jan-91,ORG,Kabul Process,1,91,848,1,mentioned in agt text,0,,,,,,,,
148,Jan-92,ORG,International Community,1,92,848,1,mentioned in agt text,OTH_206,International Community,Other,International Community,,,,,
149,Jan-92,GPE,Afghanistan,1,92,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
150,Jan-94,GPE,Afghanistan,1,94,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
151,Jan-95,ORG,International Community ’s,1,95,848,1,mentioned in agt text,0,,,,,,,,
152,Jan-95,GPE,Afghanistan,1,95,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
153,Jan-97,GPE,Afghanistan,1,97,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
154,Jan-97,ORG,Transition,1,97,848,1,mentioned in agt text,0,,,,,,,,
155,Jan-98,ORG,International Community,1,98,848,1,mentioned in agt text,OTH_206,International Community,Other,International Community,,,,,
156,Jan-98,ORG,Kabul Process,1,98,848,1,mentioned in agt text,0,,,,,,,,
157,Jan-98,GPE,Afghanistan,1,98,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
158,1/100,GPE,Afghanistan,1,100,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
159,1/101,ORG,International Community,1,101,848,1,mentioned in agt text,OTH_206,International Community,Other,International Community,,,,,
160,1/101,GPE,Afghanistan,1,101,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
161,1/102,GPE,Afghanistan,1,102,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
162,1/102,NORP,Afghan,1,102,848,1,mentioned in agt text,0,,,,,,,,
163,1/103,ORG,International Community,1,103,848,1,mentioned in agt text,OTH_206,International Community,Other,International Community,,,,,
164,1/103,GPE,Afghanistan,1,103,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
165,1/105,GPE,Afghanistan,1,105,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
166,1/106,ORG,International Community,1,106,848,1,mentioned in agt text,OTH_206,International Community,Other,International Community,,,,,
167,1/106,GPE,Afghanistan,1,106,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
168,1/108,GPE,Afghanistan,1,108,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
169,1/109,ORG,Afghan Government,1,109,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
170,1/109,ORG,EUROMINES International Investors Forum,1,109,848,1,mentioned in agt text,0,,,,,,,,
171,1/109,GPE,Brussels,1,109,848,1,mentioned in agt text,0,,,,,,,,
172,1/111,GPE,Afghanistan,1,111,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
173,1/113,GPE,Afghanistan,1,113,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
174,1/114,GPE,Afghanistan,1,114,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
175,1/116,ORG,“ Istanbul Conference,1,116,848,1,mentioned in agt text,0,,,,,,,,
176,1/116,GPE,Afghanistan,1,116,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
177,1/116,LOC,Asia,1,116,848,1,mentioned in agt text,0,,,,,,,,
178,1/117,LOC,Asia,1,117,848,1,mentioned in agt text,0,,,,,,,,
179,1/118,GPE,Afghanistan,1,118,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
180,1/118,ORG,follow‐up Ministerial Conference,1,118,848,1,mentioned in agt text,0,,,,,,,0,Not an org
181,1/118,GPE,Kabul,1,118,848,1,mentioned in agt text,0,,,,,,,,
182,1/120,GPE,Afghanistan,1,120,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
183,1/120,LOC,South Asia,1,120,848,1,mentioned in agt text,0,,,,,,,,
184,1/120,LOC,Central Asia,1,120,848,1,mentioned in agt text,0,,,,,,,,
185,1/120,GPE,Eurasia,1,120,848,1,mentioned in agt text,0,,,,,,,,
186,1/120,LOC,Middle East,1,120,848,1,mentioned in agt text,0,,,,,,,,
187,1/121,GPE,Afghanistan,1,121,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
188,1/122,ORG,CASA‐1000,1,122,848,1,mentioned in agt text,0,,,,,,,0,Not an org
189,1/123,GPE,Republic Tajikistan,1,123,848,1,mentioned in agt text,CON_62,Tajikistan,Country/State,Tajikistan,TAJ,Tajikistan,TJK,,
190,1/123,GPE,Dushanbe,1,123,848,1,mentioned in agt text,0,,,,,,,,
191,1/125,GPE,Afghanistan,1,125,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
192,1/125,GPE,Pakistan,1,125,848,1,mentioned in agt text,CON_395,Pakistan,Country/State,Pakistan,PAK,Pakistan,PAK,,
193,1/125,GPE,Iran,1,125,848,1,mentioned in agt text,CON_289,Iran (Islamic Republic of),Country/State,Iran (Islamic Republic of),IRN,Iran (Islamic Republic of),IRN,,
194,1/125,NORP,Afghans,1,125,848,1,mentioned in agt text,0,,,,,,,,
195,1/126,ORG,WAY,1,126,848,1,mentioned in agt text,0,,,,,,,0,Not an org
196,1/127,ORG,Transition,1,127,848,1,mentioned in agt text,0,,,,,,,,
197,1/127,ORG,Transformation,1,127,848,1,mentioned in agt text,0,,,,,,,,
198,1/127,GPE,Afghanistan,1,127,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
199,1/128,GPE,Afghanistan,1,128,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
200,1/128,ORG,International Community,1,128,848,1,mentioned in agt text,OTH_206,International Community,Other,International Community,,,,,
201,1/130,GPE,Afghanistan,1,130,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
202,1/131,GPE,Afghanistan,1,131,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
203,1/133,ORG,International Community,1,133,848,1,mentioned in agt text,OTH_206,International Community,Other,International Community,,,,,
204,1/133,GPE,Afghanistan,1,133,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
205,1/134,GPE,Afghanistan,1,134,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
206,1/134,ORG,International Community,1,134,848,1,mentioned in agt text,OTH_206,International Community,Other,International Community,,,,,
207,1/136,GPE,Bonn,1,136,848,1,mentioned in agt text,0,,,,,,,,
208,1/136,GPE,Afghanistan,1,136,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
209,1/136,ORG,International Community,1,136,848,1,mentioned in agt text,OTH_206,International Community,Other,International Community,,,,,
210,1/136,GPE,Petersberg,1,136,848,1,mentioned in agt text,0,,,,,,,,
211,1/137,GPE,Afghanistan,1,137,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
212,1/137,ORG,International Community,1,137,848,1,mentioned in agt text,OTH_206,International Community,Other,International Community,,,,,
213,1/138,GPE,Islamic Republic Afghanistan,1,138,848,1,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
214,1/138,GPE,Republic Albania,1,138,848,1,mentioned in agt text,CON_587,Albania,Country/State,Albania,ALB,Albania,ALB,,
215,1/138,ORG,People ’s Democratic Republic Algeria,1,138,848,1,mentioned in agt text,CON_255,Algeria,Country/State,Algeria,ALG,Algeria,DZA,,
216,1/138,GPE,Argentine Republic,1,138,848,1,mentioned in agt text,CON_9,Argentina,Country/State,Argentina,ARG,Argentina,ARG,,
217,1/138,GPE,Republic Armenia,1,138,848,1,mentioned in agt text,CON_61,Armenia,Country/State,Armenia,ARM,Armenia,ARM,,
218,1/138,GPE,Australia,1,138,848,1,mentioned in agt text,CON_277,Australia,Country/State,Australia,AUL,Australia,AUS,,
219,1/138,GPE,Republic Austria,1,138,848,1,mentioned in agt text,CON_588,Austria,Country/State,Austria,AUS,Austria,AUT,,
220,1/138,GPE,Republic Azerbaijan,1,138,848,1,mentioned in agt text,CON_59,Azerbaijan,Country/State,Azerbaijan,AZE,Azerbaijan,AZE,,
221,1/138,GPE,Kingdom Bahrain,1,138,848,1,mentioned in agt text,CON_18,Bahrain,Country/State,Bahrain,BAH,Bahrain,BHR,,
222,1/138,ORG,People ’s Republic Bangladesh,1,138,848,1,mentioned in agt text,CON_287,Bangladesh,Country/State,Bangladesh,BNG,Bangladesh,BGD,,
