mention_id,sentence_id,entity type,entity,doc_id_x,sentence_number,doc_name,doc_id_y,type,actor_id_type,actor_type,actor_name,actor,abbreviation,country_based,iso3c,correct?,notes
53,1/9,GPE,Afghanistan,1,9,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
54,1/10,NORP,Afghan,1,10,848,1,mentioned in agt text,0,,,,,,,,
55,1/11,ORG,Al Qaida,1,11,848,1,mentioned in agt text,ARM_2000,Armed Organization,al-Qaida,al-Qaida,,Afghanistan,AFG,,
56,1/11,GPE,Afghanistan,1,11,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
57,1/15,GPE,Afghanistan,1,15,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
58,1/15,NORP,Afghans,1,15,848,1,mentioned in agt text,0,,,,,,,,
59,1/16,GPE,Afghanistan,1,16,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
60,1/18,GPE,Afghanistan,1,18,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
61,1/18,GPE,Germany,1,18,848,1,mentioned in agt text,CON_2,Country/State,Germany,Germany,GMY,Germany,DEU,,
62,1/18,ORG,International Community,1,18,848,1,mentioned in agt text,OTH_206,Other,International Community,International Community,,,,,
63,1/19,ORG,Kabul Process,1,19,848,1,mentioned in agt text,0,,,,,,,,
64,1/19,GPE,Afghanistan,1,19,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
65,1/19,ORG,International Community,1,19,848,1,mentioned in agt text,OTH_206,Other,International Community,International Community,,,,,
66,1/21,GPE,Afghanistan,1,21,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
67,1/22,NORP,Afghan,1,22,848,1,mentioned in agt text,0,,,,,,,,
68,1/22,ORG,democratic society,1,22,848,1,mentioned in agt text,0,,,,,,,,
69,1/23,GPE,Afghanistan,1,23,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
70,1/24,GPE,Afghanistan,1,24,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
71,1/24,ORG,International Community,1,24,848,1,mentioned in agt text,OTH_206,Other,International Community,International Community,,,,,
72,1/26,NORP,Afghan,1,26,848,1,mentioned in agt text,0,,,,,,,,
73,1/27,GPE,Afghanistan,1,27,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
74,1/31,GPE,Afghanistan,1,31,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
75,1/32,GPE,Afghanistan,1,32,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
76,1/33,NORP,Afghan,1,33,848,1,mentioned in agt text,0,,,,,,,,
77,1/37,NORP,Afghan,1,37,848,1,mentioned in agt text,0,,,,,,,,
78,1/37,GPE,Afghanistan,1,37,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
79,1/38,GPE,Afghanistan,1,38,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
80,1/38,ORG,national sub‐national,1,38,848,1,mentioned in agt text,0,,,,,,,,
81,1/40,ORG,United Nations,1,40,848,1,mentioned in agt text,IGO_49,Intergovernmental Organization,United Nations (General),United Nations,UN,,,,
82,1/40,GPE,Afghanistan,1,40,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
83,1/41,ORG,UN,1,41,848,1,mentioned in agt text,IGO_49,Intergovernmental Organization,United Nations (General),United Nations,UN,,,,
84,1/41,GPE,Afghanistan,1,41,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
85,1/42,NORP,UNAMA,1,42,848,1,mentioned in agt text,0,,,,,,,,
86,1/42,GPE,Afghanistan,1,42,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
